"station","arrondissement","lat","long","dur","mm","jj","temp","precip"
"de Bordeaux / Rachel","Le Plateau-Mont-Royal",45.5320753229761,-73.5676998398048,12.90085,9,6,19.5,0
"Square St-Louis (du Square St-Louis / Laval)","Le Plateau-Mont-Royal",45.5160908019707,-73.5701286792755,15.4069166666667,9,6,15.9,16.4
"de Brébeuf / du Mont-Royal","Le Plateau-Mont-Royal",45.5292235552447,-73.5778491497695,3.79001666666667,7,2,25.9,0
"Marie-Anne / Papineau","Le Plateau-Mont-Royal",45.5317669714818,-73.5724139213562,7.31345,5,2,17.7,0.3
"Parc Hilda-Ramacière (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",45.5156213198234,-73.5721296072006,12.4703333333333,6,6,21,0
"des Pins / Hutchison","Le Plateau-Mont-Royal",45.5108002894856,-73.5782209038734,15.5589166666667,5,3,10.2,0.4
"Cathcart / McGill College","Ville-Marie",45.5011876814898,-73.570454878145,9.15868333333333,9,4,20.7,0
"Chomedey / de Maisonneuve","Ville-Marie",45.491750449904,-73.5839447379112,7.17503333333333,9,4,18.4,7.6
"Ste-Catherine / Dézéry","Mercier - Hochelaga-Maisonneuve",45.5393850819617,-73.5409998893738,10.4272333333333,7,5,23.2,0
"de Bellechasse / de St-Vallier","Rosemont - La Petite-Patrie",45.533410433633,-73.6011242866516,17.1728833333333,8,5,27.4,0
"Gilford / Papineau","Le Plateau-Mont-Royal",45.5343936461316,-73.5782369971275,15.2373833333333,7,3,24.8,0
"Marquette / du Mont-Royal","Le Plateau-Mont-Royal",45.5322179114747,-73.575431406498,22.59225,8,5,27.4,0
"Boyer / du Mont-Royal","Le Plateau-Mont-Royal",45.5274321263806,-73.5799167305231,14.08345,6,2,15,0
"St-Hubert / René-Levesque","Ville-Marie",45.5144819716506,-73.5568732023239,4.24571666666667,9,5,20.3,0
"St-Hubert / René-Levesque","Ville-Marie",45.5144819716506,-73.5568732023239,9.80216666666667,10,5,5.7,0.8
"Marquette / Laurier","Le Plateau-Mont-Royal",45.53543,-73.5822,11.6235333333333,6,3,22.3,11.4
